feature;importance
INSTAL_PAYMENT_DIFF_SUM;0.0006776630408234182
INSTAL_PAYMENT_PERC_MEAN;0.0006654878713024872
FLAG_DOCUMENT_8;0.0006646707479242025
CC_MONTHS_BALANCE_MAX;0.0006619551109259933
FLAG_EMP_PHONE;0.000644396510178771
PREV_HOUR_APPR_PROCESS_START_MEAN;0.0005894850494947554
CC_MONTHS_BALANCE_MIN;0.0005883990455852088
INSTAL_PAYMENT_DIFF_MEAN;0.0005840610052590628
PREV_HOUR_APPR_PROCESS_START_MAX;0.0005808339762987161
CC_MONTHS_BALANCE_SUM;0.0005783965427758656
INSTAL_DPD_MAX;0.00055043712552166
PREV_HOUR_APPR_PROCESS_START_MIN;0.0005415843524994749
INSTAL_DPD_SUM;0.0005404539371727024
PREV_AMT_CREDIT_MAX;0.000539279430153838
APPROVED_DAYS_DECISION_MAX;0.0005359154969920381
PREV_CNT_PAYMENT_SUM;0.0005343136824698767
LIVE_REGION_NOT_WORK_REGION;0.0005007934271634142
REG_REGION_NOT_WORK_REGION;0.0004979789619296397
INSTAL_DPD_MEAN;0.0004921138750973821
INSTAL_PAYMENT_DIFF_MAX;0.0004845395784006018
PREV_DAYS_DECISION_MIN;0.00046781703162870853
PREV_AMT_APPLICATION_MIN;0.00046146771294528063
PREV_DAYS_DECISION_MEAN;0.0004581329944732789
PREV_CNT_PAYMENT_MEAN;0.0004560634190612159
INSTAL_COUNT;0.0004539074875310619
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN;0.00044195676649317467
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN;0.00043937366302545974
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE;0.00042820779809761686
CC_MONTHS_BALANCE_MEAN;0.0004112085753789862
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM;0.0004085853107223019
PREV_AMT_CREDIT_MEAN;0.00039192314432134645
PREV_AMT_ANNUITY_MAX;0.0003823418401995699
CC_AMT_PAYMENT_CURRENT_SUM;0.0003760637306591912
PREV_AMT_ANNUITY_MIN;0.00037520161049663054
POS_COUNT;0.00036825149719283757
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN;0.00036767247633504713
CC_CNT_INSTALMENT_MATURE_CUM_MAX;0.00036459694192492734
POS_MONTHS_BALANCE_SIZE;0.000364186573373254
INSTAL_PAYMENT_DIFF_VAR;0.00036121446378607633
PREV_APP_CREDIT_PERC_MIN;0.0003612041333244899
AMT_REQ_CREDIT_BUREAU_HOUR;0.0003507604448014906
APPROVED_DAYS_DECISION_MEAN;0.00034523511347629655
