feature;shap_importance
AMT_REQ_CREDIT_BUREAU_HOUR;0.00020653645647461828
LIVINGAPARTMENTS_MEDI;0.00019959442455788582
BURO_CREDIT_TYPE_Consumer credit_MEAN;0.000198220065509488
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN;0.00018399055493390726
REG_REGION_NOT_LIVE_REGION;0.0001825562227578153
FLAG_DOCUMENT_8;0.00016992006069396995
PREV_APP_CREDIT_PERC_MIN;0.00016751854154820888
ACTIVE_MONTHS_BALANCE_MAX_MAX;0.0001602116900013256
PREV_AMT_APPLICATION_MEAN;0.00015974592701613541
PREV_NAME_TYPE_SUITE_Group of people_MEAN;0.00015381070258292293
AMT_REQ_CREDIT_BUREAU_QRT;0.000152804567022191
CLOSED_MONTHS_BALANCE_MIN_MIN;0.00015103176552763034
PREV_AMT_DOWN_PAYMENT_MEAN;0.00015096341179106872
AMT_REQ_CREDIT_BUREAU_MON;0.00014923040450023458
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN;0.0001488334869098667
FLAG_DOCUMENT_2;0.0001481963395536721
PREV_AMT_CREDIT_MEAN;0.00014564532513653482
PREV_AMT_GOODS_PRICE_MEAN;0.00014509578345273542
PREV_NAME_TYPE_SUITE_Spouse, partner_MEAN;0.00013833754584213114
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN;0.00012603502643109953
PREV_HOUR_APPR_PROCESS_START_MAX;0.00012538230221441124
PREV_AMT_GOODS_PRICE_MIN;0.00012207412610026888
AMT_REQ_CREDIT_BUREAU_YEAR;0.00011829721560560773
PREV_AMT_GOODS_PRICE_MAX;0.0001174400410587636
BURO_CREDIT_ACTIVE_Closed_MEAN;9.960148046968136e-05
ACTIVE_DAYS_CREDIT_MEAN;9.942949654282884e-05
BURO_CREDIT_TYPE_Credit card_MEAN;8.864718917676058e-05
BURO_AMT_CREDIT_SUM_LIMIT_SUM;8.84611961658797e-05
PREV_AMT_CREDIT_MIN;8.753002463388755e-05
PREV_NAME_TYPE_SUITE_nan_MEAN;8.69902312057024e-05
BURO_AMT_CREDIT_SUM_DEBT_SUM;8.62837946100336e-05
PREV_AMT_DOWN_PAYMENT_MIN;8.495228767210529e-05
BURO_STATUS_4_MEAN_MEAN;8.477878584714785e-05
CLOSED_DAYS_CREDIT_MIN;8.277058479068748e-05
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN;8.173602624471841e-05
PREV_AMT_APPLICATION_MIN;7.908472109648522e-05
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN;7.759155480690105e-05
BURO_CREDIT_CURRENCY_currency 1_MEAN;7.698606734288379e-05
BURO_CREDIT_TYPE_Loan for business development_MEAN;7.661383082650894e-05
FLAG_CONT_MOBILE;7.585623964867578e-05
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN;7.396668149214798e-05
PREV_NAME_CONTRACT_TYPE_XNA_MEAN;7.354805197148814e-05
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN;7.288571016480895e-05
BURO_CREDIT_TYPE_Car loan_MEAN;7.136901274170308e-05
BURO_STATUS_2_MEAN_MEAN;7.051375401338138e-05
BURO_STATUS_3_MEAN_MEAN;6.954110468206678e-05
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN;6.907168064550726e-05
BURO_MONTHS_BALANCE_MAX_MAX;6.733541343252952e-05
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN;6.685970024767863e-05
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN;6.673965961228307e-05
BURO_CREDIT_TYPE_Another type of loan_MEAN;6.660662267058543e-05
PREV_AMT_CREDIT_MAX;6.593831181708438e-05
ACTIVE_AMT_CREDIT_SUM_MAX;6.522739875772594e-05
FLAG_DOCUMENT_3;6.515639551231887e-05
BURO_CREDIT_CURRENCY_currency 3_MEAN;6.505472452401268e-05
BURO_CREDIT_TYPE_Loan for working capital replenishment_MEAN;6.307799452437008e-05
BURO_MONTHS_BALANCE_SIZE_SUM;6.29053924863625e-05
ACTIVE_DAYS_CREDIT_ENDDATE_MIN;6.20768006791771e-05
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN;6.177894568365563e-05
BURO_MONTHS_BALANCE_MIN_MIN;6.125661131588638e-05
BURO_CREDIT_CURRENCY_currency 2_MEAN;6.007339399169295e-05
PREV_NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment_MEAN;6.0047304702351745e-05
BURO_AMT_ANNUITY_MEAN;5.9656430469375585e-05
AMT_REQ_CREDIT_BUREAU_WEEK;5.810666925430286e-05
BURO_AMT_CREDIT_SUM_LIMIT_MEAN;5.70024024582191e-05
PREV_AMT_ANNUITY_MIN;5.661848010953709e-05
PREV_NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday_MEAN;5.5668636130305586e-05
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN;5.561941374011965e-05
ACTIVE_MONTHS_BALANCE_MIN_MIN;5.4358776083420446e-05
ACTIVE_AMT_CREDIT_SUM_SUM;5.4226623857473675e-05
PREV_NAME_PAYMENT_TYPE_nan_MEAN;5.3873506461306735e-05
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN;5.3685265722067984e-05
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN;5.3472359599416615e-05
ACTIVE_MONTHS_BALANCE_SIZE_SUM;5.3220170925677294e-05
ACTIVE_CREDIT_DAY_OVERDUE_MAX;5.114871551485893e-05
PREV_NAME_CONTRACT_STATUS_Approved_MEAN;5.059956150170682e-05
BURO_CREDIT_TYPE_nan_MEAN;4.968397619655789e-05
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN;4.942031412537236e-05
PREV_NAME_CASH_LOAN_PURPOSE_Everyday expenses_MEAN;4.8543915479270394e-05
BURO_CREDIT_CURRENCY_currency 4_MEAN;4.7715877812937586e-05
BURO_CREDIT_TYPE_Microloan_MEAN;4.6863201878516754e-05
BURO_CREDIT_TYPE_Mortgage_MEAN;4.5779083422313304e-05
CLOSED_MONTHS_BALANCE_SIZE_SUM;4.5365293042655026e-05
PREV_NAME_CONTRACT_TYPE_nan_MEAN;4.485033920940607e-05
ACTIVE_DAYS_CREDIT_MAX;4.458007946353227e-05
BURO_CREDIT_TYPE_Real estate loan_MEAN;4.402757519284109e-05
PREV_AMT_ANNUITY_MAX;4.345454524441619e-05
BURO_CREDIT_ACTIVE_nan_MEAN;4.312619251094501e-05
ACTIVE_AMT_CREDIT_SUM_MEAN;4.195675342958355e-05
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM;3.9652676698772815e-05
PREV_AMT_ANNUITY_MEAN;3.929894354659091e-05
BURO_AMT_ANNUITY_MAX;3.9252467096486614e-05
BURO_MONTHS_BALANCE_SIZE_MEAN;3.896432620066345e-05
BURO_AMT_CREDIT_SUM_DEBT_MEAN;3.8096921905852516e-05
ACTIVE_DAYS_CREDIT_ENDDATE_MAX;3.792168518126061e-05
REGION_RATING_CLIENT_W_CITY;3.68337902259065e-05
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN;3.679820066966715e-05
BURO_CREDIT_ACTIVE_Bad debt_MEAN;3.6364615895688934e-05
AMT_REQ_CREDIT_BUREAU_DAY;3.5327174469999126e-05
PREV_NAME_TYPE_SUITE_Family_MEAN;3.5258903712218015e-05
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN;3.464652286501961e-05
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN;3.398434648235009e-05
PREV_NAME_CONTRACT_STATUS_nan_MEAN;3.3647464578261594e-05
PREV_NAME_PAYMENT_TYPE_Cashless from the account of the employer_MEAN;3.2971892611186286e-05
BURO_CREDIT_CURRENCY_nan_MEAN;3.277235838818317e-05
PREV_NAME_TYPE_SUITE_Other_A_MEAN;3.240704696091196e-05
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM;3.173657377016441e-05
BURO_CREDIT_ACTIVE_Sold_MEAN;3.171535818965443e-05
ACTIVE_DAYS_CREDIT_VAR;3.103950820798306e-05
PREV_NAME_TYPE_SUITE_Other_B_MEAN;3.041955389284635e-05
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN;3.0351238672560768e-05
